2024-05-09 15:14:32.526 | INFO     | __main__:<module>:5 - Starting Telemac2D simulations...
2024-05-09 15:14:32.526 | INFO     | __main__:<module>:5 - Starting Telemac2D simulations...
2024-05-09 15:14:47.815 | INFO     | __main__:<module>:5 - Starting Telemac2D simulations...
2024-05-09 15:14:47.815 | INFO     | __main__:<module>:5 - Starting Telemac2D simulations...
2024-05-09 15:14:47.815 | INFO     | __main__:<module>:5 - Starting Telemac2D simulations...
2024-05-09 15:14:47.817 | INFO     | __main__:run_telemac2d:14 - Running steering_1.cas
2024-05-09 15:14:47.817 | INFO     | __main__:run_telemac2d:14 - Running steering_1.cas
2024-05-09 15:14:47.817 | INFO     | __main__:run_telemac2d:14 - Running steering_1.cas
2024-05-09 15:14:47.831 | INFO     | __main__:run_telemac2d:14 - Running steering_2.cas
2024-05-09 15:14:47.831 | INFO     | __main__:run_telemac2d:14 - Running steering_2.cas
2024-05-09 15:14:47.831 | INFO     | __main__:run_telemac2d:14 - Running steering_2.cas
2024-05-09 15:14:47.833 | INFO     | __main__:run_telemac2d:14 - Running steering_3.cas
2024-05-09 15:14:47.833 | INFO     | __main__:run_telemac2d:14 - Running steering_3.cas
2024-05-09 15:14:47.833 | INFO     | __main__:run_telemac2d:14 - Running steering_3.cas
2024-05-09 15:14:47.844 | INFO     | __main__:run_telemac2d:14 - Running steering_4.cas
2024-05-09 15:14:47.844 | INFO     | __main__:run_telemac2d:14 - Running steering_4.cas
2024-05-09 15:14:47.844 | INFO     | __main__:run_telemac2d:14 - Running steering_4.cas
2024-05-09 15:14:47.849 | INFO     | __main__:run_telemac2d:14 - Running steering_5.cas
2024-05-09 15:14:47.849 | INFO     | __main__:run_telemac2d:14 - Running steering_5.cas
2024-05-09 15:14:47.849 | INFO     | __main__:run_telemac2d:14 - Running steering_5.cas
2024-05-09 15:14:47.854 | INFO     | __main__:run_telemac2d:14 - Running steering_6.cas
2024-05-09 15:14:47.854 | INFO     | __main__:run_telemac2d:14 - Running steering_6.cas
2024-05-09 15:14:47.854 | INFO     | __main__:run_telemac2d:14 - Running steering_6.cas
2024-05-09 15:14:47.858 | INFO     | __main__:run_telemac2d:14 - Running steering_7.cas
2024-05-09 15:14:47.858 | INFO     | __main__:run_telemac2d:14 - Running steering_7.cas
2024-05-09 15:14:47.858 | INFO     | __main__:run_telemac2d:14 - Running steering_7.cas
2024-05-09 15:14:47.864 | INFO     | __main__:run_telemac2d:14 - Running steering_8.cas
2024-05-09 15:14:47.864 | INFO     | __main__:run_telemac2d:14 - Running steering_8.cas
2024-05-09 15:14:47.864 | INFO     | __main__:run_telemac2d:14 - Running steering_8.cas
2024-05-09 15:14:47.869 | INFO     | __main__:run_telemac2d:14 - Running steering_9.cas
2024-05-09 15:14:47.869 | INFO     | __main__:run_telemac2d:14 - Running steering_9.cas
2024-05-09 15:14:47.869 | INFO     | __main__:run_telemac2d:14 - Running steering_9.cas
2024-05-09 15:14:47.874 | INFO     | __main__:run_telemac2d:14 - Running steering_10.cas
2024-05-09 15:14:47.874 | INFO     | __main__:run_telemac2d:14 - Running steering_10.cas
2024-05-09 15:14:47.874 | INFO     | __main__:run_telemac2d:14 - Running steering_10.cas
2024-05-09 15:15:05.697 | INFO     | __main__:<module>:52 - Starting Telemac2D simulations...
2024-05-09 15:15:05.697 | INFO     | __main__:run_telemac2d:26 - Running steering_1.cas
2024-05-09 15:15:05.697 | INFO     | __main__:run_telemac2d:26 - Running steering_2.cas
2024-05-09 15:15:05.697 | INFO     | __main__:run_telemac2d:26 - Running steering_3.cas
2024-05-09 15:15:05.697 | INFO     | __main__:run_telemac2d:26 - Running steering_4.cas
2024-05-09 15:15:05.697 | INFO     | __main__:run_telemac2d:26 - Running steering_5.cas
2024-05-09 15:15:05.713 | INFO     | __main__:run_telemac2d:26 - Running steering_6.cas
2024-05-09 15:15:05.713 | INFO     | __main__:run_telemac2d:26 - Running steering_7.cas
2024-05-09 15:15:05.713 | INFO     | __main__:run_telemac2d:26 - Running steering_8.cas
2024-05-09 15:15:05.713 | INFO     | __main__:run_telemac2d:26 - Running steering_9.cas
2024-05-09 15:15:05.713 | INFO     | __main__:run_telemac2d:26 - Running steering_10.cas
2024-05-09 15:16:54.602 | INFO     | __main__:<module>:5 - Starting Telemac2D simulations...
2024-05-09 15:16:54.602 | INFO     | __main__:<module>:5 - Starting Telemac2D simulations...
2024-05-09 15:16:54.602 | INFO     | __main__:<module>:5 - Starting Telemac2D simulations...
2024-05-09 15:16:54.602 | INFO     | __main__:<module>:5 - Starting Telemac2D simulations...
2024-05-09 15:16:54.615 | INFO     | __main__:run_telemac2d:14 - Running steering_1.cas
2024-05-09 15:16:54.615 | INFO     | __main__:run_telemac2d:14 - Running steering_1.cas
2024-05-09 15:16:54.615 | INFO     | __main__:run_telemac2d:14 - Running steering_1.cas
2024-05-09 15:16:54.615 | INFO     | __main__:run_telemac2d:14 - Running steering_1.cas
2024-05-09 15:16:54.620 | INFO     | __main__:run_telemac2d:14 - Running steering_2.cas
2024-05-09 15:16:54.620 | INFO     | __main__:run_telemac2d:14 - Running steering_2.cas
