case_id,variable,type,mse,rmse,mae,r2,smape
0,H,field,0.0019654929637908936,0.04433388054063048,0.032922904938459396,0.9828108549118042,2.5602123737335205
1,H,field,0.007260829675942659,0.08521050214581921,0.0747515857219696,0.9542677998542786,8.792707443237305
2,H,field,0.004037404432892799,0.06354057312373566,0.05057915672659874,0.7191373109817505,7.827062129974365
3,H,field,0.006681655067950487,0.08174139139964824,0.06805076450109482,0.7372446060180664,27.550945281982422
4,H,field,0.005924608092755079,0.07697147583848889,0.06706450134515762,0.9415135979652405,11.166916847229004
5,H,field,0.004967867862433195,0.07048310338253555,0.05556381493806839,0.6842280626296997,31.097135543823242
6,H,field,0.018633030354976654,0.13650285841320925,0.11415274441242218,0.5172138214111328,13.460354804992676
7,H,field,0.007320480886846781,0.08555980882895181,0.06909217685461044,0.7971631288528442,35.88175582885742
8,H,field,0.0015941915335133672,0.03992732815395199,0.03157747909426689,0.9627209305763245,13.057257652282715
9,H,field,0.003631145227700472,0.060258984622216065,0.04991759732365608,0.9705243110656738,4.477465629577637
10,H,field,0.0031173150055110455,0.055832920445835946,0.04468348249793053,0.8092015981674194,49.26773452758789
11,H,field,0.004624164663255215,0.06800121074845075,0.05557531118392944,0.8024015426635742,22.722274780273438
12,H,field,0.006928745657205582,0.0832390873160295,0.0678350180387497,0.5713422298431396,6.573294162750244
13,H,field,0.0029019268695265055,0.0538695356349626,0.04288642853498459,0.7396056652069092,2.9504892826080322
14,H,field,0.03120710514485836,0.176655328662507,0.16527380049228668,0.8438149690628052,13.969352722167969
15,H,field,0.0035735995043069124,0.05977959103495868,0.04871274530887604,0.9707435369491577,4.354153156280518
16,H,field,0.0034265159629285336,0.0585364498661179,0.04800001159310341,0.97369384765625,9.034099578857422
17,H,field,0.0029435015749186277,0.054254046622520494,0.04383951425552368,0.7014235258102417,3.359933614730835
18,H,field,0.002685530111193657,0.05182210060576141,0.04292730614542961,0.8918927907943726,14.59160041809082
19,H,field,0.015765732154250145,0.12556166673889824,0.09457389265298843,0.5102335810661316,39.7307243347168
20,H,field,0.006509483326226473,0.0806813691395137,0.06439023464918137,0.616176426410675,6.882997035980225
21,H,field,0.004752427339553833,0.06893785128326697,0.05459210276603699,0.6675333976745605,11.100582122802734
22,H,field,0.009803338907659054,0.0990118119602861,0.08345500379800797,-0.29286229610443115,4.907346248626709
23,H,field,0.0040942225605249405,0.06398611224730676,0.05197431892156601,0.9459241628646851,8.693412780761719
24,H,field,0.014374920167028904,0.11989545515585194,0.11046946048736572,0.953518807888031,9.43722152709961
25,H,field,0.004146780353039503,0.06439549947814291,0.05140390247106552,0.7138638496398926,16.424638748168945
